Fruit_name,Fruit_weight,Fruit_color
Papaya,2596.91,Orange
Watermelon,2991.67,Green
Apple,547.82,Red
Pineapple,1373.88,Brown
Mango,1387.45,Yellow
Grapes,905.61,Green
Kiwi,851.07,Brown
Banana,1780.09,Yellow
Watermelon,1894.88,Green
Orange,190.78,Orange
Kiwi,518.81,Brown
Blueberry,1867.76,Blue
Mango,1629.79,Yellow
Blueberry,1813.08,Blue
Strawberry,480.08,Red
Orange,2345.15,Orange
Kiwi,1600.43,Brown
Papaya,1260.84,Orange
Banana,2639.72,Yellow
Cherry,2809.94,Red
Cherry,320.39,Red
Pineapple,1550.34,Brown
Strawberry,612.14,Red
Kiwi,582.26,Brown
Blueberry,1909.37,Blue
Mango,823.39,Yellow
Watermelon,837.3,Green
Pineapple,718.86,Brown
Pineapple,250.38,Brown
Watermelon,1502.47,Green
Apple,2162.58,Red
Mango,658.54,Yellow
Banana,92.64,Yellow
Pineapple,1828.67,Brown
Papaya,1017.63,Orange
Mango,172.32,Yellow
Grapes,1273.27,Green
Pineapple,1427.75,Brown
Blueberry,2753.83,Blue
Papaya,2357.11,Orange
Apple,1376.01,Red
Apple,2263.21,Red
Watermelon,1242.01,Green
Strawberry,2711.81,Red
Orange,1179.66,Orange
Apple,1407.42,Red
Strawberry,1383.29,Red
Orange,1202.87,Orange
Pineapple,2744.45,Brown
Apple,1937.4,Red
Blueberry,2253.89,Blue
Cherry,2873.64,Red
Banana,386.52,Yellow
Apple,1970.87,Red
Papaya,162.61,Orange
Cherry,2950.28,Red
Apple,60.79,Red
Apple,2595.75,Red
Orange,2051.39,Orange
Watermelon,2451.27,Green
Cherry,1660.71,Red
Apple,2689.41,Red
Strawberry,2508.86,Red
Apple,156.25,Red
Kiwi,1027.02,Brown
Cherry,1869.61,Red
Papaya,227.44,Orange
Pineapple,1011.94,Brown
Strawberry,70.16,Red
Orange,2452.24,Orange
Kiwi,693.24,Brown
Pineapple,2241.89,Brown
Papaya,1694.78,Orange
Apple,2977.26,Red
Papaya,171.2,Orange
Apple,962.25,Red
Papaya,523.23,Orange
Blueberry,2889.76,Blue
Kiwi,259.9,Brown
Kiwi,993.4,Brown
Mango,545.84,Yellow
Kiwi,1022.13,Brown
Banana,1250.51,Yellow
Orange,777.47,Orange
Papaya,2156.7,Orange
Papaya,1680.59,Orange
Blueberry,1822.12,Blue
Cherry,1796.08,Red
Kiwi,1965.32,Brown
Watermelon,399.84,Green
Banana,2910.22,Yellow
Grapes,274.97,Green
Pineapple,1749.54,Brown
Grapes,2353.06,Green
Cherry,399.29,Red
Papaya,2638.6,Orange
Kiwi,2439.87,Brown
Orange,143.2,Orange
Kiwi,1808.12,Brown
Orange,1871.45,Orange
Papaya,2008.33,Orange
Watermelon,1482.0,Green
Kiwi,2843.66,Brown
Kiwi,2532.9,Brown
Banana,1589.35,Yellow
Apple,1891.01,Red
Blueberry,582.2,Blue
Cherry,364.54,Red
Apple,2606.14,Red
Cherry,2132.22,Red
Cherry,1874.75,Red
Grapes,2142.61,Green
Strawberry,1552.8,Red
Watermelon,1665.37,Green
Banana,734.1,Yellow
Strawberry,2909.35,Red
Pineapple,169.82,Brown
Strawberry,2064.86,Red
Pineapple,203.8,Brown
Banana,1330.77,Yellow
Banana,2384.9,Yellow
Strawberry,462.6,Red
Pineapple,2381.49,Brown
Pineapple,2908.22,Brown
Watermelon,1475.18,Green
Orange,2294.93,Orange
Orange,1576.88,Orange
Pineapple,996.56,Brown
Grapes,987.44,Green
Kiwi,2598.4,Brown
Kiwi,2903.27,Brown
Papaya,2310.63,Orange
Papaya,936.37,Orange
Pineapple,2844.49,Brown
Kiwi,780.87,Brown
Strawberry,1883.56,Red
Orange,517.55,Orange
Kiwi,2985.8,Brown
Grapes,1304.93,Green
Apple,2242.44,Red
Papaya,82.48,Orange
Strawberry,2885.44,Red
Banana,1165.42,Yellow
Blueberry,1303.99,Blue
Apple,1000.8,Red
Strawberry,1834.01,Red
Orange,2176.32,Orange
Strawberry,177.1,Red
Cherry,1458.01,Red
Papaya,822.46,Orange
Kiwi,2908.96,Brown
